Iteration,Total Reward,Actual MIS Size,Generated MIS Size,Line 1 Count,Line 2 Count,Line 3 Count,Line 4 Count,Line 5 Count,Line 6 Count,Line 7 Count,Line 8 Count,Line 9 Count,Line 10 Count,Adjacency Matrix
1933,-0.1,10,5,3,1,2,2,0,0,0,0,0,0,"0,0,0,0,1,0,1,1,0,1;0,0,0,1,0,0,1,1,0,1;0,0,0,0,0,0,0,1,0,0;0,1,0,0,1,0,0,0,0,1;1,0,0,1,0,0,0,1,0,0;0,0,0,0,0,0,0,1,0,0;1,1,0,0,0,0,0,1,0,0;1,1,1,0,1,1,1,0,0,1;0,0,0,0,0,0,0,0,0,1;1,1,0,1,0,0,0,1,1,0"
1934,4,10,4,8,3,5,3,2,0,0,2,2,2,"0,1,1,1,0,0,0,0,1,1;1,0,0,1,0,0,0,1,0,0;1,0,0,0,1,0,1,0,0,0;1,1,0,0,1,0,1,1,0,0;0,0,1,1,0,0,0,1,1,0;0,0,0,0,0,0,0,0,1,1;0,0,1,1,0,0,0,0,0,0;0,1,0,1,1,0,0,0,0,1;1,0,0,0,1,1,0,0,0,1;1,0,0,0,0,1,0,1,1,0"
1935,4,10,4,7,3,4,2,2,0,0,2,2,2,"0,1,1,0,0,1,0,1,0,1;1,0,0,0,0,1,1,0,1,1;1,0,0,0,0,1,0,0,0,1;0,0,0,0,0,0,0,1,1,0;0,0,0,0,0,1,1,0,1,0;1,1,1,0,1,0,0,1,0,1;0,1,0,0,1,0,0,0,0,0;1,0,0,1,0,1,0,0,0,0;0,1,0,1,1,0,0,0,0,1;1,1,1,0,0,1,0,0,1,0"
1936,4,10,1,9,4,5,2,3,1,1,2,2,2,"0,1,1,0,0,0,1,0,0,1;1,0,0,0,0,1,0,0,0,1;1,0,0,0,0,0,1,0,1,0;0,0,0,0,0,0,1,1,1,0;0,0,0,0,0,0,0,0,0,0;0,1,0,0,0,0,0,1,1,0;1,0,1,1,0,0,0,0,1,0;0,0,0,1,0,1,0,0,0,1;0,0,1,1,0,1,1,0,0,0;1,1,0,0,0,0,0,1,0,0"
1937,4,10,4,7,3,4,2,2,0,0,2,2,2,"0,1,0,1,0,0,1,0,0,0;1,0,0,0,1,0,1,1,0,1;0,0,0,1,1,1,0,1,1,0;1,0,1,0,0,1,0,0,0,0;0,1,1,0,0,0,0,0,1,1;0,0,1,1,0,0,0,0,0,1;1,1,0,0,0,0,0,0,0,1;0,1,1,0,0,0,0,0,0,1;0,0,1,0,1,0,0,0,0,0;0,1,0,0,1,1,1,1,0,0"
1938,4,10,3,7,3,4,1,3,1,1,2,2,2,"0,0,1,1,1,0,1,1,0,0;0,0,0,0,0,0,0,0,0,0;1,0,0,1,1,0,0,0,0,1;1,0,1,0,1,0,0,0,0,0;1,0,1,1,0,0,1,1,0,1;0,0,0,0,0,0,0,0,0,0;1,0,0,0,1,0,0,0,0,1;1,0,0,0,1,0,0,0,1,0;0,0,0,0,0,0,0,1,0,0;0,0,1,0,1,0,1,0,0,0"
1939,-0.1,10,5,4,1,3,3,0,0,0,0,0,0,"0,0,1,1,0,0,0,1,0,0;0,0,0,0,0,1,0,1,0,1;1,0,0,0,0,1,0,0,0,1;1,0,0,0,0,1,0,0,0,1;0,0,0,0,0,0,0,1,0,1;0,1,1,1,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;1,1,0,0,1,0,0,0,0,1;0,0,0,0,0,0,0,0,0,1;0,1,1,1,1,0,0,1,1,0"
1940,4,10,4,7,3,4,2,2,0,0,2,2,2,"0,1,0,0,1,1,0,0,0,0;1,0,1,0,0,0,1,0,1,0;0,1,0,1,1,1,0,1,0,0;0,0,1,0,1,0,0,0,0,0;1,0,1,1,0,0,0,0,0,0;1,0,1,0,0,0,0,1,1,0;0,1,0,0,0,0,0,0,0,1;0,0,1,0,0,1,0,0,0,1;0,1,0,0,0,1,0,0,0,0;0,0,0,0,0,0,1,1,0,0"
1941,-0.1,10,5,5,1,4,4,0,0,0,0,0,0,"0,0,1,0,0,1,1,0,1,0;0,0,0,1,0,0,0,1,1,0;1,0,0,0,0,0,0,1,0,0;0,1,0,0,1,0,0,1,0,0;0,0,0,1,0,0,0,0,0,0;1,0,0,0,0,0,0,0,0,0;1,0,0,0,0,0,0,1,1,1;0,1,1,1,0,0,1,0,1,0;1,1,0,0,0,0,1,1,0,1;0,0,0,0,0,0,1,0,1,0"
1942,1,10,4,4,2,2,1,1,0,0,1,1,1,"0,0,0,1,0,0,1,0,0,0;0,0,0,1,0,0,0,1,1,0;0,0,0,0,0,1,1,0,0,0;1,1,0,0,1,0,0,0,0,0;0,0,0,1,0,1,0,0,0,1;0,0,1,0,1,0,0,1,1,0;1,0,1,0,0,0,0,1,0,0;0,1,0,0,0,1,1,0,1,0;0,1,0,0,0,1,0,1,0,0;0,0,0,0,1,0,0,0,0,0"
1943,1,10,5,6,2,4,3,1,0,0,1,1,1,"0,1,0,0,1,1,1,1,0,1;1,0,0,0,0,0,1,0,0,1;0,0,0,1,0,0,0,0,0,1;0,0,1,0,1,0,0,0,0,0;1,0,0,1,0,0,0,0,1,0;1,0,0,0,0,0,1,0,0,1;1,1,0,0,0,1,0,0,0,0;1,0,0,0,0,0,0,0,1,0;0,0,0,0,1,0,0,1,0,0;1,1,1,0,0,1,0,0,0,0"
1944,1,10,4,5,2,3,1,2,1,1,1,1,1,"0,0,0,0,0,0,1,1,0,1;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,1,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,1,0,0,1;0,0,0,0,0,0,0,0,0,0;1,0,0,0,1,0,0,0,1,1;1,0,0,0,0,0,0,0,1,1;0,0,1,0,0,0,1,1,0,1;1,0,0,0,1,0,1,1,1,0"
1945,1,10,5,4,1,3,2,1,0,0,1,1,1,"0,1,1,0,0,0,0,1,0,0;1,0,0,0,0,0,0,0,0,0;1,0,0,0,0,0,0,0,1,0;0,0,0,0,0,1,0,1,0,1;0,0,0,0,0,1,0,1,0,0;0,0,0,1,1,0,1,1,1,1;0,0,0,0,0,1,0,0,1,1;1,0,0,1,1,1,0,0,1,0;0,0,1,0,0,1,1,1,0,0;0,0,0,1,0,1,1,0,0,0"
1946,-0.1,10,5,5,1,4,4,0,0,0,0,0,0,"0,0,1,0,0,0,0,0,0,0;0,0,0,1,0,0,0,0,0,0;1,0,0,0,0,1,1,0,0,1;0,1,0,0,0,1,0,1,1,0;0,0,0,0,0,1,1,1,0,1;0,0,1,1,1,0,1,0,1,0;0,0,1,0,1,1,0,1,1,0;0,0,0,1,1,0,1,0,0,0;0,0,0,1,0,1,1,0,0,0;0,0,1,0,1,0,0,0,0,0"
1947,-0.1,10,5,4,1,3,3,0,0,0,0,0,0,"0,0,0,0,0,0,1,0,0,0;0,0,0,0,0,0,0,0,0,1;0,0,0,1,0,0,0,1,1,1;0,0,1,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,1,0;0,0,0,0,0,0,0,1,0,0;1,0,0,0,0,0,0,1,0,0;0,0,1,0,0,1,1,0,0,0;0,0,1,0,1,0,0,0,0,0;0,1,1,0,0,0,0,0,0,0"
1948,-0.1,10,5,5,1,4,4,0,0,0,0,0,0,"0,0,1,0,0,0,1,0,0,0;0,0,0,0,0,0,1,1,1,0;1,0,0,1,0,0,0,0,0,1;0,0,1,0,0,0,0,1,0,1;0,0,0,0,0,0,0,1,0,1;0,0,0,0,0,0,0,0,0,1;1,1,0,0,0,0,0,0,1,0;0,1,0,1,1,0,0,0,1,0;0,1,0,0,0,0,1,1,0,1;0,0,1,1,1,1,0,0,1,0"
1949,4,10,4,6,3,3,1,2,0,0,2,2,2,"0,0,0,1,0,0,1,0,0,0;0,0,1,1,1,1,1,1,0,0;0,1,0,1,0,1,0,0,1,0;1,1,1,0,0,1,0,0,1,1;0,1,0,0,0,0,1,1,0,0;0,1,1,1,0,0,0,1,0,0;1,1,0,0,1,0,0,0,1,1;0,1,0,0,1,1,0,0,0,0;0,0,1,1,0,0,1,0,0,0;0,0,0,1,0,0,1,0,0,0"
1950,4,10,2,9,4,5,2,3,1,1,2,2,2,"0,1,0,0,0,1,0,0,1,0;1,0,0,1,0,1,0,1,1,0;0,0,0,0,1,0,0,0,0,0;0,1,0,0,0,0,1,0,1,0;0,0,1,0,0,0,0,0,0,0;1,1,0,0,0,0,1,0,0,0;0,0,0,1,0,1,0,1,1,0;0,1,0,0,0,0,1,0,1,0;1,1,0,1,0,0,1,1,0,0;0,0,0,0,0,0,0,0,0,0"
1951,-0.1,10,6,3,1,2,2,0,0,0,0,0,0,"0,0,0,1,0,0,0,1,0,0;0,0,0,0,0,0,0,1,1,1;0,0,0,0,0,0,0,0,0,0;1,0,0,0,0,1,0,1,0,0;0,0,0,0,0,0,0,1,1,0;0,0,0,1,0,0,0,1,0,1;0,0,0,0,0,0,0,0,1,0;1,1,0,1,1,1,0,0,1,0;0,1,0,0,1,0,1,1,0,0;0,1,0,0,0,1,0,0,0,0"
1952,1,10,2,8,4,4,1,3,2,2,1,1,1,"0,0,0,0,0,0,0,0,0,0;0,0,0,0,1,0,1,0,1,0;0,0,0,0,1,0,1,1,1,0;0,0,0,0,1,1,0,0,0,0;0,1,1,1,0,0,0,0,1,0;0,0,0,1,0,0,1,0,0,0;0,1,1,0,0,1,0,0,1,0;0,0,1,0,0,0,0,0,1,0;0,1,1,0,1,0,1,1,0,0;0,0,0,0,0,0,0,0,0,0"
1953,1,10,5,6,2,4,3,1,0,0,1,1,1,"0,1,1,0,0,0,1,1,0,1;1,0,0,0,1,0,0,0,0,0;1,0,0,1,0,0,0,0,1,0;0,0,1,0,0,1,0,1,1,0;0,1,0,0,0,0,0,0,0,1;0,0,0,1,0,0,0,1,0,1;1,0,0,0,0,0,0,0,0,0;1,0,0,1,0,1,0,0,1,0;0,0,1,1,0,0,0,1,0,1;1,0,0,0,1,1,0,0,1,0"
1954,-0.1,10,6,4,1,3,3,0,0,0,0,0,0,"0,0,0,0,0,0,0,1,0,0;0,0,0,1,1,1,0,1,1,0;0,0,0,1,0,0,0,0,0,0;0,1,1,0,0,0,1,0,1,1;0,1,0,0,0,0,1,0,1,0;0,1,0,0,0,0,0,1,0,0;0,0,0,1,1,0,0,0,0,0;1,1,0,0,0,1,0,0,1,0;0,1,0,1,1,0,0,1,0,0;0,0,0,1,0,0,0,0,0,0"
1955,1,10,3,7,3,4,2,2,1,1,1,1,1,"0,0,0,0,0,0,0,0,0,1;0,0,1,1,0,0,1,0,0,0;0,1,0,0,0,0,0,0,0,0;0,1,0,0,1,0,0,1,1,0;0,0,0,1,0,0,0,0,1,0;0,0,0,0,0,0,0,1,1,0;0,1,0,0,0,0,0,0,0,1;0,0,0,1,0,1,0,0,0,0;0,0,0,1,1,1,0,0,0,0;1,0,0,0,0,0,1,0,0,0"
1956,9,10,4,8,3,5,2,3,0,0,3,3,3,"0,0,0,0,1,1,1,0,1,1;0,0,0,0,0,1,0,1,0,0;0,0,0,1,1,1,1,0,1,1;0,0,1,0,0,0,1,0,0,0;1,0,1,0,0,0,0,1,1,0;1,1,1,0,0,0,1,0,0,0;1,0,1,1,0,1,0,0,1,0;0,1,0,0,1,0,0,0,1,1;1,0,1,0,1,0,1,1,0,1;1,0,1,0,0,0,0,1,1,0"
1957,1,10,5,6,2,4,3,1,0,0,1,1,1,"0,1,1,0,0,1,0,0,0,1;1,0,0,0,0,1,1,0,1,0;1,0,0,0,0,0,0,0,1,0;0,0,0,0,0,0,0,1,0,0;0,0,0,0,0,1,0,1,1,0;1,1,0,0,1,0,0,1,0,1;0,1,0,0,0,0,0,0,0,1;0,0,0,1,1,1,0,0,0,1;0,1,1,0,1,0,0,0,0,1;1,0,0,0,0,1,1,1,1,0"
1958,4,10,4,8,3,5,3,2,0,0,2,2,2,"0,1,1,1,1,1,0,0,0,0;1,0,0,1,1,0,0,1,0,0;1,0,0,0,1,0,0,0,1,1;1,1,0,0,0,0,0,0,0,0;1,1,1,0,0,1,0,0,1,1;1,0,0,0,1,0,0,0,0,1;0,0,0,0,0,0,0,1,1,0;0,1,0,0,0,0,1,0,1,0;0,0,1,0,1,0,1,1,0,0;0,0,1,0,1,1,0,0,0,0"
1959,1,10,5,5,2,3,1,2,1,1,1,1,1,"0,1,0,0,0,1,0,0,0,1;1,0,0,0,0,1,0,0,0,0;0,0,0,0,0,0,0,0,1,0;0,0,0,0,0,0,0,0,1,0;0,0,0,0,0,0,0,0,0,0;1,1,0,0,0,0,0,0,0,1;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,1,0;0,0,1,1,0,0,0,1,0,0;1,0,0,0,0,1,0,0,0,0"
1960,4,10,3,8,3,5,2,3,1,1,2,2,2,"0,1,1,1,0,1,0,0,0,1;1,0,1,0,1,1,1,1,0,1;1,1,0,0,0,0,0,1,0,1;1,0,0,0,0,0,0,0,0,1;0,1,0,0,0,0,0,1,0,0;1,1,0,0,0,0,1,0,1,1;0,1,0,0,0,1,0,0,0,0;0,1,1,0,1,0,0,0,1,0;0,0,0,0,0,1,0,1,0,0;1,1,1,1,0,1,0,0,0,0"
1961,4,10,4,8,3,5,3,2,0,0,2,2,2,"0,1,0,0,0,1,0,1,0,0;1,0,1,1,1,0,0,0,0,1;0,1,0,0,0,1,1,0,0,0;0,1,0,0,1,0,0,0,1,0;0,1,0,1,0,1,1,0,1,0;1,0,1,0,1,0,0,1,0,1;0,0,1,0,1,0,0,0,0,0;1,0,0,0,0,1,0,0,0,1;0,0,0,1,1,0,0,0,0,1;0,1,0,0,0,1,0,1,1,0"
1962,4,10,4,7,3,4,2,2,0,0,2,2,2,"0,0,0,0,1,0,0,0,0,1;0,0,1,1,1,0,0,0,0,1;0,1,0,0,1,1,1,0,0,0;0,1,0,0,0,0,1,0,1,0;1,1,1,0,0,0,0,0,1,1;0,0,1,0,0,0,0,0,1,0;0,0,1,1,0,0,0,1,1,0;0,0,0,0,0,0,1,0,1,0;0,0,0,1,1,1,1,1,0,0;1,1,0,0,1,0,0,0,0,0"
1963,-0.1,10,5,4,1,3,3,0,0,0,0,0,0,"0,1,0,0,0,1,0,1,0,0;1,0,0,1,0,0,1,1,1,0;0,0,0,1,0,0,0,0,0,0;0,1,1,0,1,1,0,1,0,0;0,0,0,1,0,0,0,0,0,1;1,0,0,1,0,0,1,0,0,1;0,1,0,0,0,1,0,0,0,1;1,1,0,1,0,0,0,0,0,1;0,1,0,0,0,0,0,0,0,1;0,0,0,0,1,1,1,1,1,0"
1964,4,10,4,8,3,5,3,2,0,0,2,2,2,"0,0,1,1,1,1,0,1,0,0;0,0,0,0,1,0,1,1,1,0;1,0,0,0,0,1,0,1,1,0;1,0,0,0,0,0,0,1,0,0;1,1,0,0,0,1,1,0,1,1;1,0,1,0,1,0,0,0,0,0;0,1,0,0,1,0,0,1,1,0;1,1,1,1,0,0,1,0,0,0;0,1,1,0,1,0,1,0,0,1;0,0,0,0,1,0,0,0,1,0"
1965,-0.1,10,6,4,1,3,3,0,0,0,0,0,0,"0,1,0,0,1,0,1,1,1,0;1,0,1,0,1,1,0,1,0,0;0,1,0,0,0,0,0,0,0,0;0,0,0,0,1,1,0,0,0,1;1,1,0,1,0,0,0,0,0,0;0,1,0,1,0,0,0,0,0,0;1,0,0,0,0,0,0,1,0,1;1,1,0,0,0,0,1,0,0,0;1,0,0,0,0,0,0,0,0,0;0,0,0,1,0,0,1,0,0,0"
1966,1,10,3,8,4,4,1,3,2,2,1,1,1,"0,0,0,0,1,0,0,0,0,0;0,0,0,0,1,0,0,0,0,0;0,0,0,1,0,0,1,0,0,0;0,0,1,0,0,0,1,0,0,0;1,1,0,0,0,0,0,0,0,1;0,0,0,0,0,0,1,0,0,1;0,0,1,1,0,1,0,0,1,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,1,0,0,1;0,0,0,0,1,1,0,0,1,0"
1967,1,10,4,5,2,3,2,1,0,0,1,1,1,"0,0,0,0,0,0,1,0,0,0;0,0,0,1,0,1,0,0,0,0;0,0,0,1,0,0,1,1,1,0;0,1,1,0,1,0,0,0,1,0;0,0,0,1,0,0,0,1,0,1;0,1,0,0,0,0,0,1,1,1;1,0,1,0,0,0,0,0,1,0;0,0,1,0,1,1,0,0,0,0;0,0,1,1,0,1,1,0,0,1;0,0,0,0,1,1,0,0,1,0"
1968,-0.1,10,5,5,1,4,4,0,0,0,0,0,0,"0,1,1,0,1,1,1,1,0,1;1,0,0,0,0,1,0,0,1,1;1,0,0,0,0,0,1,1,0,1;0,0,0,0,0,0,0,0,1,0;1,0,0,0,0,0,0,0,0,0;1,1,0,0,0,0,0,0,1,1;1,0,1,0,0,0,0,0,1,1;1,0,1,0,0,0,0,0,0,0;0,1,0,1,0,1,1,0,0,0;1,1,1,0,0,1,1,0,0,0"
1969,9,10,4,9,4,5,2,3,0,0,3,3,3,"0,1,0,1,0,0,0,0,1,0;1,0,1,0,1,1,0,0,1,0;0,1,0,1,1,0,1,0,0,1;1,0,1,0,1,0,1,1,0,0;0,1,1,1,0,0,0,1,1,0;0,1,0,0,0,0,1,1,0,0;0,0,1,1,0,1,0,0,0,0;0,0,0,1,1,1,0,0,0,1;1,1,0,0,1,0,0,0,0,0;0,0,1,0,0,0,0,1,0,0"
1970,-0.1,10,5,4,1,3,3,0,0,0,0,0,0,"0,1,0,0,1,0,0,0,0,0;1,0,1,1,0,0,0,0,0,0;0,1,0,0,0,0,0,1,0,0;0,1,0,0,0,0,0,1,0,0;1,0,0,0,0,1,0,0,0,0;0,0,0,0,1,0,1,1,0,1;0,0,0,0,0,1,0,0,0,0;0,0,1,1,0,1,0,0,1,0;0,0,0,0,0,0,0,1,0,1;0,0,0,0,0,1,0,0,1,0"
1971,1,10,4,5,2,3,2,1,0,0,1,1,1,"0,0,0,0,0,0,0,1,1,0;0,0,0,0,0,0,1,0,1,0;0,0,0,0,1,1,1,0,0,0;0,0,0,0,0,1,0,0,0,1;0,0,1,0,0,0,1,0,0,1;0,0,1,1,0,0,1,0,1,0;0,1,1,0,1,1,0,0,1,0;1,0,0,0,0,0,0,0,0,0;1,1,0,0,0,1,1,0,0,0;0,0,0,1,1,0,0,0,0,0"
1972,4,10,4,7,3,4,2,2,0,0,2,2,2,"0,0,0,1,0,0,0,0,1,0;0,0,0,1,0,0,1,1,1,0;0,0,0,1,1,0,0,1,1,1;1,1,1,0,1,0,0,0,0,1;0,0,1,1,0,0,0,1,0,1;0,0,0,0,0,0,0,1,1,0;0,1,0,0,0,0,0,0,0,0;0,1,1,0,1,1,0,0,0,0;1,1,1,0,0,1,0,0,0,1;0,0,1,1,1,0,0,0,1,0"
1973,-0.1,10,5,3,1,2,2,0,0,0,0,0,0,"0,1,0,0,0,1,0,1,0,0;1,0,0,1,0,1,0,0,1,0;0,0,0,1,0,0,0,0,0,0;0,1,1,0,0,0,0,0,0,1;0,0,0,0,0,1,0,0,0,0;1,1,0,0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,1,0;1,0,0,0,0,0,0,0,0,0;0,1,0,0,0,0,1,0,0,0;0,0,0,1,0,0,0,0,0,0"
1974,-0.1,10,6,3,1,2,2,0,0,0,0,0,0,"0,1,1,0,0,0,0,0,1,0;1,0,0,0,0,0,0,0,1,0;1,0,0,0,0,0,1,0,0,1;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,1;0,0,1,0,0,0,0,0,1,1;0,0,0,0,0,0,0,0,1,0;1,1,0,0,0,0,1,1,0,0;0,0,1,0,0,1,1,0,0,0"
1975,4,10,5,8,3,5,3,2,0,0,2,2,2,"0,0,1,0,0,0,0,0,1,1;0,0,0,1,0,0,1,1,0,0;1,0,0,0,0,0,0,0,0,0;0,1,0,0,0,1,0,0,0,1;0,0,0,0,0,1,0,0,1,0;0,0,0,1,1,0,0,1,0,0;0,1,0,0,0,0,0,0,1,1;0,1,0,0,0,1,0,0,1,0;1,0,0,0,1,0,1,1,0,0;1,0,0,1,0,0,1,0,0,0"
1976,4,10,5,8,3,5,3,2,0,0,2,2,2,"0,1,0,0,1,0,0,0,1,0;1,0,0,0,0,1,1,0,0,0;0,0,0,0,0,0,1,1,0,1;0,0,0,0,0,1,0,1,0,1;1,0,0,0,0,0,0,0,0,0;0,1,0,1,0,0,0,0,0,1;0,1,1,0,0,0,0,0,1,0;0,0,1,1,0,0,0,0,1,0;1,0,0,0,0,0,1,1,0,1;0,0,1,1,0,1,0,0,1,0"
1977,1,10,4,6,2,4,3,1,0,0,1,1,1,"0,0,0,0,1,0,0,0,1,0;0,0,0,1,0,0,0,0,0,0;0,0,0,0,1,1,1,0,0,0;0,1,0,0,0,0,1,1,1,1;1,0,1,0,0,0,0,0,1,0;0,0,1,0,0,0,0,0,1,0;0,0,1,1,0,0,0,0,1,1;0,0,0,1,0,0,0,0,0,1;1,0,0,1,1,1,1,0,0,0;0,0,0,1,0,0,1,1,0,0"
1978,-0.1,10,6,4,1,3,3,0,0,0,0,0,0,"0,0,0,0,0,1,0,1,0,0;0,0,1,0,0,0,0,0,0,0;0,1,0,1,0,0,0,1,0,1;0,0,1,0,0,0,1,1,0,0;0,0,0,0,0,0,1,0,0,0;1,0,0,0,0,0,0,1,0,0;0,0,0,1,1,0,0,0,1,0;1,0,1,1,0,1,0,0,1,1;0,0,0,0,0,0,1,1,0,0;0,0,1,0,0,0,0,1,0,0"
1979,-0.1,10,5,5,1,4,4,0,0,0,0,0,0,"0,0,1,0,0,0,0,1,1,1;0,0,0,0,1,1,0,0,0,0;1,0,0,1,1,0,1,0,0,0;0,0,1,0,1,0,0,0,0,0;0,1,1,1,0,0,0,0,0,0;0,1,0,0,0,0,0,0,0,0;0,0,1,0,0,0,0,0,0,0;1,0,0,0,0,0,0,0,0,0;1,0,0,0,0,0,0,0,0,1;1,0,0,0,0,0,0,0,1,0"
1980,4,10,4,7,3,4,2,2,0,0,2,2,2,"0,1,1,1,1,0,0,0,1,1;1,0,0,0,0,1,0,0,0,1;1,0,0,1,0,1,0,1,1,0;1,0,1,0,0,1,1,1,1,1;1,0,0,0,0,1,0,0,0,0;0,1,1,1,1,0,0,1,0,0;0,0,0,1,0,0,0,1,0,0;0,0,1,1,0,1,1,0,1,0;1,0,1,1,0,0,0,1,0,0;1,1,0,1,0,0,0,0,0,0"
1981,4,10,5,8,3,5,3,2,0,0,2,2,2,"0,0,1,1,1,0,0,0,1,0;0,0,1,0,0,0,0,1,1,0;1,1,0,0,0,1,1,0,1,1;1,0,0,0,0,1,0,0,1,1;1,0,0,0,0,0,1,1,1,1;0,0,1,1,0,0,0,1,0,0;0,0,1,0,1,0,0,1,0,0;0,1,0,0,1,1,1,0,0,0;1,1,1,1,1,0,0,0,0,0;0,0,1,1,1,0,0,0,0,0"
1982,1,10,4,6,2,4,2,2,1,1,1,1,1,"0,0,0,0,0,0,0,0,1,0;0,0,1,0,1,0,0,0,0,0;0,1,0,0,1,1,1,0,0,0;0,0,0,0,0,0,0,0,0,0;0,1,1,0,0,0,1,0,1,0;0,0,1,0,0,0,1,0,1,1;0,0,1,0,1,1,0,0,0,0;0,0,0,0,0,0,0,0,0,0;1,0,0,0,1,1,0,0,0,0;0,0,0,0,0,1,0,0,0,0"
1983,-0.1,10,5,2,1,1,1,0,0,0,0,0,0,"0,1,0,0,1,0,0,1,0,0;1,0,0,0,1,0,0,0,0,0;0,0,0,0,1,0,0,0,0,0;0,0,0,0,0,1,0,0,1,0;1,1,1,0,0,0,0,0,0,0;0,0,0,1,0,0,0,0,0,0;0,0,0,0,0,0,0,1,0,0;1,0,0,0,0,0,1,0,0,0;0,0,0,1,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0"
1984,1,10,3,8,3,5,3,2,1,1,1,1,1,"0,0,0,1,1,0,1,1,0,0;0,0,0,0,0,0,0,0,1,0;0,0,0,1,1,0,1,0,1,0;1,0,1,0,1,0,0,0,0,0;1,0,1,1,0,0,0,0,0,0;0,0,0,0,0,0,0,1,0,0;1,0,1,0,0,0,0,0,0,0;1,0,0,0,0,1,0,0,1,0;0,1,1,0,0,0,0,1,0,1;0,0,0,0,0,0,0,0,1,0"
1985,1,10,5,6,2,4,3,1,0,0,1,1,1,"0,0,0,0,1,0,0,0,0,0;0,0,0,0,1,0,1,1,1,0;0,0,0,1,0,0,0,0,1,1;0,0,1,0,0,0,1,0,0,0;1,1,0,0,0,1,0,1,0,1;0,0,0,0,1,0,1,0,1,0;0,1,0,1,0,1,0,1,0,0;0,1,0,0,1,0,1,0,0,0;0,1,1,0,0,1,0,0,0,1;0,0,1,0,1,0,0,0,1,0"
1986,4,10,4,6,3,3,1,2,0,0,2,2,2,"0,1,1,0,0,1,0,0,0,0;1,0,1,0,0,1,0,0,1,1;1,1,0,1,0,0,0,1,0,1;0,0,1,0,1,0,0,0,1,1;0,0,0,1,0,0,0,1,1,0;1,1,0,0,0,0,0,0,0,1;0,0,0,0,0,0,0,0,1,1;0,0,1,0,1,0,0,0,1,1;0,1,0,1,1,0,1,1,0,1;0,1,1,1,0,1,1,1,1,0"
1987,1,10,4,5,1,4,3,1,0,0,1,1,1,"0,0,0,0,1,0,0,0,1,0;0,0,0,1,0,0,1,1,0,0;0,0,0,0,0,0,0,1,0,0;0,1,0,0,0,0,0,0,0,0;1,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,1,1;0,1,0,0,0,0,0,0,1,1;0,1,1,0,0,0,0,0,0,0;1,0,0,0,0,1,1,0,0,1;0,0,0,0,0,1,1,0,1,0"
1988,4,10,4,7,3,4,2,2,0,0,2,2,2,"0,0,0,1,0,0,0,1,1,0;0,0,1,1,1,0,0,1,1,0;0,1,0,0,1,0,0,0,1,0;1,1,0,0,1,0,0,1,0,0;0,1,1,1,0,1,1,0,0,1;0,0,0,0,1,0,0,0,0,1;0,0,0,0,1,0,0,1,0,0;1,1,0,1,0,0,1,0,0,1;1,1,1,0,0,0,0,0,0,0;0,0,0,0,1,1,0,1,0,0"
1989,-0.1,10,5,4,1,3,3,0,0,0,0,0,0,"0,0,1,1,1,1,1,0,0,0;0,0,0,0,0,1,0,0,1,1;1,0,0,0,0,1,1,0,0,0;1,0,0,0,0,0,0,0,0,0;1,0,0,0,0,1,0,0,0,0;1,1,1,0,1,0,0,1,1,0;1,0,1,0,0,0,0,1,1,0;0,0,0,0,0,1,1,0,0,0;0,1,0,0,0,1,1,0,0,1;0,1,0,0,0,0,0,0,1,0"
1990,-0.1,10,5,5,1,4,4,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,1,0;0,0,1,0,1,0,0,0,0,0;0,1,0,0,1,0,0,0,0,1;0,0,0,0,1,1,0,1,1,0;0,1,1,1,0,1,0,1,1,0;0,0,0,1,1,0,0,1,0,0;0,0,0,0,0,0,0,1,1,0;0,0,0,1,1,1,1,0,0,0;1,0,0,1,1,0,1,0,0,1;0,0,1,0,0,0,0,0,1,0"
1991,1,10,5,7,2,5,4,1,0,0,1,1,1,"0,0,0,0,1,0,1,0,1,0;0,0,0,0,1,0,0,0,1,0;0,0,0,0,0,1,1,0,0,0;0,0,0,0,0,1,0,0,0,1;1,1,0,0,0,0,0,0,0,0;0,0,1,1,0,0,1,0,0,1;1,0,1,0,0,1,0,1,0,0;0,0,0,0,0,0,1,0,1,1;1,1,0,0,0,0,0,1,0,0;0,0,0,1,0,1,0,1,0,0"
